Set;TrialType;MultipicCode;Target;TargetGermanWord;CognateStatus;Competitor;Distractor1;Distractor2;TargetModalResponsePercentage;TargetVisualComplexity;TargetFormFrequencyZipf
4;experimental;349;lock;Schloss;No;;;;91,25;2,09;3,27
7;experimental;659;radio;Radio;Yes;l;15;15;83,78;2,85;3,21
9;experimental;164;road;Strasse;No;r;15;15;91,13;2,31;3,44
11;experimental;452;watch;Uhr;No;w;15;15;89,87;2,36;3,76
12;experimental;597;window;Fenster;No;s;16;15;89,91;2,88;3,38
15;experimental;447;star;Stern;No;f;15;15;100,00;1,27;3,20
16;experimental;488;sun;Sonne;Yes;sh;5;15;100,00;1,84;3,29
18;experimental;368;fan;Ventilator;No;;;;94,80;2,43;3,04
20;experimental;462;fly;Fliege;No;;;;88,75;3,53;3,32
22;experimental;-312;flowers (-flower);Blume;No ;;;;-100,00;-3,25;3,12
27;experimental;;ship;Schiff;No;;;;;;3,06
28;experimental;;shirt;Hemd;No;;;;;;3,14
29;experimental;-541;shoes (-shoe);Schuhe;Yes;;;;-88,31;-2,98;3,30
34;experimental;;stick;Stock;No;;;;;;3,47
35;experimental;;suit;Anzug;No;;;;;;3,28
38;experimental;-318;leaves (-leaf);Bl„tter;No;;;;-96,25;-2,51;3,23
39;experimental;;list;Liste;Yes;;;;;;3,33
40;experimental;;letter;Brief;No;;;;;;3,24
46;experimental;;rock;Stein;No;;;;;;3,28
52;experimental;52?;saw;S„ge;No;;;;92,30;;3,80
53;experimental;;ladder;;;;;;;;
54;experimental;;fish;;;;;;;;
55;experimental;;shirt;;;;;;;;
56;experimental;;snake;;;;;;;;
57;experimental;;spon;;;;;;;;
58;experimental;;lamp;;;;;;;;
59;experimental;;lemon;;;;;;;;
60;experimental;;robbot;;;;;;;;
61;experimental;;rabbit;;;;;;;;
62;experimental;;frog;;;;;;;;
63;experimental;;fork;;;;;;;;
64;experimental;;feather;;;;;;;;
;;;sheep;;;;;;;;
;;;sandwich;;;;;;;;
;;;scissors;;;;;;;;
;;;rug;;;;;;;;
;;;ring;;;;;;;;
;;;windmill;;;;;;;;
;;;wallet;;;;;;;;
;;;lion;;;;;;;;
;;;lizard;;;;;;;;
;;;fox;;;;;;;;
;;;flag;;;;;;;;
;;;ruler;;;;;;;;
;;;watermelon;;;;;;;;
;;;whistle;;;;;;;;
;;;whale;;;;;;;;
;;;wolf;;;;;;;;
;;;walnut;;;;;;;;
;;;snail;;;;;;;;
;;;strawberry;;;;;;;;
;;;scarf;;;;;;;;
;;;skyscraper;;;;;;;;
;;;sword;;;;;;;;
;;;sunflower;;;;;;;;
;;;socks;;;;;;;;
;;;lobster;;;;;;;;
;;;lipstick;;;;;;;;
;;;ladybug;;;;;;;;
;;;leopard;;;;;;;;
;;;lamb;;;;;;;;
;;;lettuce;;;;;;;;
;;;rose;;;;;;;;
;;;ribbon;;;;;;;;
;;;rocket;;;;;;;;
;;;raspberry;;;;;;;;
;;;ramp;;;;;;;;
;;;remote;;;;;;;;
;;;rhino;;;;;;;;
;;;wagon;;;;;;;;
;;;waffle;;;;;;;;
;;;wool;;;;;;;;
;;;waterfall;;;;;;;;
;;;wood;;;;;;;;
;;;flute;;;;;;;;
;;;fig;;;;;;;;
;;;flamingo;;;;;;;;
;;;phone;;;;;;;;
;;;fries;;;;;;;;
;;;fridge;;;;;;;;
;;;skirt;;;;;;;;
;;;squirrel;;;;;;;;
;;;shorts;;;;;;;;
;;;shell;;;;;;;;
;;;shirmp;;;;;;;;
;;;shovel;;;;;;;;
;;;shark;;;;;;;;
